spo,"Product (gene name, if available)",Category,Subcategory,log2 foldchange Rp+V,log2 foldchange Rp+M,log2 foldchange Rp+V+M
SPO1723,mannonate dehydratase,Competition,Carbon source,-0.299,-0.281,-0.232
SPO3478,"glycolate oxidase, GlcD subunit",Competition,Carbon source,-0.239,-0.096,-0.123
SPO3479,"glycolate oxidase, GlcE subunit",Competition,Carbon source,-0.44,-0.093,-0.174
SPO2796,phosphoglycolate phosphatase,Competition,Carbon source,0.014,-0.399,-0.168
SPO3805,Methylthioacryloyl-CoA hydratase,Competition,Carbon source,-0.061,-0.106,-0.026
SPO0923,"carbamoyl-phosphate synthase, large subunit",Competition,Nitrogen acquisition,-0.618,-0.504,-0.377
SPO0397,protein-P-II uridylyltransferase,Competition,Nitrogen acquisition,-2.013,-0.573,-6.492
SPO1294,polyhydroxyalkanoate synthesis repressor PhaR,Competition,"Storage, carbon",-0.339,-0.235,-0.247
SPO1727,"polyphosphate kinase 2, putative",Competition,"Storage, phosphorus",-0.312,-0.125,-2.146
SPO0521,"glutamate/glutamine/aspartate/asparagine ABC transporter, permease protein",Competition,"Transporter, primary",0.19,0.125,0.228
SPO2815,"peptide/nickel/opine uptake family ABC transporter, permease protein",Competition,"Transporter, primary",-0.112,-0.034,-0.092
SPO3339,bioY family protein,Competition,"Transporter, primary",-0.295,-0.15,-0.013
SPO1816,"TRAP dicarboxylate transporter, DctM subunit, putative",Competition,"Transporter, secondary",-0.17,-0.167,-0.171
SPO2630,C4-dicarboxylate transport sensor protein,Competition,"Transporter, secondary",-0.259,-0.155,-0.157
SPOA0236,C4-dicarboxylate transport sensor protein dctB,Competition,"Transporter, secondary",-0.245,-0.237,-0.199
SPOA0237,C4-dicarboxylate transport transcriptional regulatory protein DctD,Competition,"Transporter, secondary",-0.255,-0.237,-0.221
SPOA0240,"TRAP transporter, DctM subunit",Competition,"Transporter, secondary",-0.153,-0.145,-0.147
SPO3034,phosphoenolpyruvate-protein phosphotransferase,Competition,"Transporter, phosphotransferase",0.534,0.419,0.602
SPO0215,"3-isopropylmalate dehydratase, small subunit",Crossfeeding,Amino Acid,1.098,0.585,0.774
SPO0422,2-isopropylmalate synthase,Crossfeeding,Amino Acid,0.6,0.585,0.56
SPO1921,pyridoxal-phosphate dependent enzyme,Crossfeeding,Amino Acid,1.198,0.909,0.774
SPO0216,"3-isopropylmalate dehydratase, large subunit",Crossfeeding,Amino Acid,1.148,1.103,1.904
SPO1264,aspartate aminotransferase,Crossfeeding,Amino Acid,0.147,0.109,0.202
SPO2958,inositol monophosphatase family protein,Crossfeeding,Amino Acid,0.412,0.457,0.899
SPO0102,3-methyl-2-oxobutanoate hydroxymethyltransferase,Crossfeeding,Cofactor,0.431,0.418,0.444
SPO0103,pantoate--beta-alanine ligase,Crossfeeding,Cofactor,0.457,0.433,0.426
SPO0291,molybdenum cofactor biosynthesis protein B,Crossfeeding,Cofactor,0.173,0.054,0.157
SPO0410,"molybdopterin biosynthesis protein MoeB, putative",Crossfeeding,Cofactor,0.407,0.177,0.295
SPO2041,B12 reduction/reactivation protein,Crossfeeding,Cofactor,1.172,0.989,2.129
SPO3768,"glutamate synthase, large subunit",Crossfeeding,Amino Acid,0.924,0.678,0.787
SPO3770,"glutamate synthase, small subunit",Crossfeeding,Amino Acid,1.524,1.067,1.541
SPO0366,purine nucleoside phosphorylase,Crossfeeding,Nucleotide,0.205,0.131,0.18
SPO1870,phosphoribosylformylglycinamidine synthase II,Crossfeeding,Nucleotide,2.888,2.239,3.173
SPO2677,amidophosphoribosyltransferase,Crossfeeding,Nucleotide,1.158,0.38,1.002
SPOA0017,cytidylate kinase,Crossfeeding,Nucleotide,-4.542,1.867,0.255
SPO0284,"dihydroorotase, multifunctional complex type",Crossfeeding,Nucleotide,1.391,1.128,2.042
SPO2136,"ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent",Crossfeeding,Nucleotide,0.131,0.099,0.131
SPO2654,orotate phosphoribosyltransferase,Crossfeeding,Nucleotide,4.833,4.087,6.219
SPO3278,orotidine 5'-phosphate decarboxylase,Crossfeeding,Nucleotide,4.968,4.771,5.703
SPO2635,phosophoadenylyl-sulfate reductase,Crossfeeding,Sulfur Metabolism,6.331,3.907,5.768
SPO2634,"sulfite reductase, putative",Crossfeeding,Sulfur Metabolism,4.667,0,5.912
SPO0503,ribosomal protein L30,Altered environment,Cell Cycle/Growth,0.354,0.23,0.331
SPO1443,ATP-dependent RNA helicase RhlE,Altered environment,Cell Cycle/Growth,0.424,0.35,0.393
SPO_Sp16SA,,Altered environment,Cell Cycle/Growth,0.107,0.114,0.12
SPO_Sp16SB,,Altered environment,Cell Cycle/Growth,0.11,0.115,0.122
SPO_Sp16SC,,Altered environment,Cell Cycle/Growth,0.113,0.117,0.126
SPO0728,translation elongation factor Tu,Altered environment,Cell Cycle/Growth,-0.03,-0.12,0.012
SPO2569,Aspartate/glutamate leucyltransferase (EC 2.3.2.29),Altered environment,Cell Cycle/Growth,0.227,0.258,0.232
SPO3498,translation elongation factor Tu,Altered environment,Cell Cycle/Growth,-0.018,-0.11,0.045
SPO0983,GTP-binding protein LepA,Altered environment,Cell Cycle/Growth,0.208,0.168,0.237
SPO2965,ribosomal protein L33,Altered environment,Cell Cycle/Growth,0.223,0.207,0.366
SPO1383,"cytochrome c oxidase, aa3-type, subunit I",Altered environment,Energy,0.422,0.334,0.53
SPO2819,"NAD(P)+ transhydrogenase, beta subunit",Altered environment,Energy,0.391,0.361,0.441
SPO3073,"cytochrome c oxidase, subunit III",Altered environment,Energy,0.429,0.328,0.442
SPO3075,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme O synthase),Altered environment,Energy,0.876,0.686,0.86
SPO3076,"cytochrome c oxidase, subunit II",Altered environment,Energy,0.429,0.459,0.477
SPO2820,"NAD(P) transhydrogenase, alpha subunit",Altered environment,Energy,0.273,0.26,0.361
SPO3810,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",Altered environment,Metabolism,2.689,2.483,2.602
SPO1171,pyruvate carboxylase,Altered environment,Metabolism,-0.106,-0.129,-0.106
SPO0349,"malate dehydrogenase, NAD-dependent",Altered environment,Metabolism,0.825,1.474,1.762
SPO0875,"glyceraldehyde-3-phosphate dehydrogenase, type I",Altered environment,Metabolism,0.247,0.083,0.384
SPO2198,"glyceraldehyde-3-phosphate dehydrogenase, type I",Altered environment,Metabolism,0.545,0.76,1.879
SPO0386,universal stress family protein,Altered environment,Stress,0.989,0.669,1.294
SPO2340,"superoxide dismutase, Fe",Altered environment,Stress ROS,1.672,1.386,2.068
